claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
32,0.000,0.000,0.000,0.000,0.000,-0.444,-0.329,-0.255
32,0.000,0.000,0.000,0.000,0.200,-0.444,-0.329,-0.211
32,0.000,0.000,0.000,0.000,0.400,-0.444,-0.329,-0.202
32,0.000,0.000,0.000,0.000,0.600,-0.444,-0.329,-0.199
32,0.000,0.000,0.000,0.000,0.800,-0.444,-0.329,-0.198
32,0.000,0.000,0.000,0.000,1.000,-0.444,-0.329,-0.196
32,0.000,0.000,0.000,0.200,0.000,-0.444,-0.329,-0.256
32,0.000,0.000,0.000,0.200,0.200,-0.444,-0.329,-0.256
32,0.000,0.000,0.000,0.200,0.400,-0.444,-0.329,-0.257
32,0.000,0.000,0.000,0.200,0.600,-0.444,-0.329,-0.257
32,0.000,0.000,0.000,0.200,0.800,-0.444,-0.329,-0.256
32,0.000,0.000,0.000,0.200,1.000,-0.444,-0.329,-0.255
32,0.000,0.000,0.000,0.400,0.000,-0.444,-0.329,-0.257
32,0.000,0.000,0.000,0.400,0.200,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,0.400,0.400,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,0.400,0.600,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,0.400,0.800,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,0.400,1.000,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,0.600,0.000,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,0.600,0.200,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,0.600,0.400,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,0.600,0.600,-0.444,-0.329,-0.260
32,0.000,0.000,0.000,0.600,0.800,-0.444,-0.329,-0.260
32,0.000,0.000,0.000,0.600,1.000,-0.444,-0.329,-0.261
32,0.000,0.000,0.000,0.800,0.000,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,0.800,0.200,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,0.800,0.400,-0.444,-0.329,-0.260
32,0.000,0.000,0.000,0.800,0.600,-0.444,-0.329,-0.260
32,0.000,0.000,0.000,0.800,0.800,-0.444,-0.329,-0.261
32,0.000,0.000,0.000,0.800,1.000,-0.444,-0.329,-0.261
32,0.000,0.000,0.000,1.000,0.000,-0.444,-0.329,-0.258
32,0.000,0.000,0.000,1.000,0.200,-0.444,-0.329,-0.259
32,0.000,0.000,0.000,1.000,0.400,-0.444,-0.329,-0.260
32,0.000,0.000,0.000,1.000,0.600,-0.444,-0.329,-0.261
32,0.000,0.000,0.000,1.000,0.800,-0.444,-0.329,-0.262
32,0.000,0.000,0.000,1.000,1.000,-0.444,-0.329,-0.262
32,0.000,0.000,0.200,0.000,0.000,-0.444,-0.329,-0.211
32,0.000,0.000,0.200,0.000,0.200,-0.444,-0.329,-0.207
32,0.000,0.000,0.200,0.000,0.400,-0.444,-0.329,-0.204
32,0.000,0.000,0.200,0.000,0.600,-0.444,-0.329,-0.201
32,0.000,0.000,0.200,0.000,0.800,-0.444,-0.329,-0.198
32,0.000,0.000,0.200,0.000,1.000,-0.444,-0.329,-0.196
32,0.000,0.000,0.200,0.200,0.000,-0.444,-0.329,-0.242
32,0.000,0.000,0.200,0.200,0.200,-0.444,-0.329,-0.219
32,0.000,0.000,0.200,0.200,0.400,-0.444,-0.329,-0.219
32,0.000,0.000,0.200,0.200,0.600,-0.444,-0.329,-0.219
32,0.000,0.000,0.200,0.200,0.800,-0.444,-0.329,-0.219
32,0.000,0.000,0.200,0.200,1.000,-0.444,-0.329,-0.220
32,0.000,0.000,0.200,0.400,0.000,-0.444,-0.329,-0.256
32,0.000,0.000,0.200,0.400,0.200,-0.444,-0.329,-0.254
32,0.000,0.000,0.200,0.400,0.400,-0.444,-0.329,-0.252
32,0.000,0.000,0.200,0.400,0.600,-0.444,-0.329,-0.249
32,0.000,0.000,0.200,0.400,0.800,-0.444,-0.329,-0.244
32,0.000,0.000,0.200,0.400,1.000,-0.444,-0.329,-0.240
32,0.000,0.000,0.200,0.600,0.000,-0.444,-0.329,-0.256
32,0.000,0.000,0.200,0.600,0.200,-0.444,-0.329,-0.256
32,0.000,0.000,0.200,0.600,0.400,-0.444,-0.329,-0.256
32,0.000,0.000,0.200,0.600,0.600,-0.444,-0.329,-0.256
32,0.000,0.000,0.200,0.600,0.800,-0.444,-0.329,-0.255
32,0.000,0.000,0.200,0.600,1.000,-0.444,-0.329,-0.255
32,0.000,0.000,0.200,0.800,0.000,-0.444,-0.329,-0.257
32,0.000,0.000,0.200,0.800,0.200,-0.444,-0.329,-0.257
32,0.000,0.000,0.200,0.800,0.400,-0.444,-0.329,-0.257
32,0.000,0.000,0.200,0.800,0.600,-0.444,-0.329,-0.258
32,0.000,0.000,0.200,0.800,0.800,-0.444,-0.329,-0.258
32,0.000,0.000,0.200,0.800,1.000,-0.444,-0.329,-0.258
32,0.000,0.000,0.200,1.000,0.000,-0.444,-0.329,-0.257
32,0.000,0.000,0.200,1.000,0.200,-0.444,-0.329,-0.258
32,0.000,0.000,0.200,1.000,0.400,-0.444,-0.329,-0.258
32,0.000,0.000,0.200,1.000,0.600,-0.444,-0.329,-0.259
32,0.000,0.000,0.200,1.000,0.800,-0.444,-0.329,-0.259
32,0.000,0.000,0.200,1.000,1.000,-0.444,-0.329,-0.260
32,0.000,0.000,0.400,0.000,0.000,-0.444,-0.329,-0.212
32,0.000,0.000,0.400,0.000,0.200,-0.444,-0.329,-0.208
32,0.000,0.000,0.400,0.000,0.400,-0.444,-0.329,-0.205
