claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
22,0.000,0.000,0.000,0.000,0.000,0.368,0.093,0.153
22,0.000,0.000,0.000,0.000,0.200,0.368,0.093,0.106
22,0.000,0.000,0.000,0.000,0.400,0.368,0.093,0.096
22,0.000,0.000,0.000,0.000,0.600,0.368,0.093,0.096
22,0.000,0.000,0.000,0.000,0.800,0.368,0.093,0.095
22,0.000,0.000,0.000,0.000,1.000,0.368,0.093,0.128
22,0.000,0.000,0.000,0.200,0.000,0.368,0.093,0.214
22,0.000,0.000,0.000,0.200,0.200,0.368,0.093,0.219
22,0.000,0.000,0.000,0.200,0.400,0.368,0.093,0.210
22,0.000,0.000,0.000,0.200,0.600,0.368,0.093,0.188
22,0.000,0.000,0.000,0.200,0.800,0.368,0.093,0.172
22,0.000,0.000,0.000,0.200,1.000,0.368,0.093,0.128
22,0.000,0.000,0.000,0.400,0.000,0.368,0.093,0.188
22,0.000,0.000,0.000,0.400,0.200,0.368,0.093,0.217
22,0.000,0.000,0.000,0.400,0.400,0.368,0.093,0.215
22,0.000,0.000,0.000,0.400,0.600,0.368,0.093,0.210
22,0.000,0.000,0.000,0.400,0.800,0.368,0.093,0.193
22,0.000,0.000,0.000,0.400,1.000,0.368,0.093,0.174
22,0.000,0.000,0.000,0.600,0.000,0.368,0.093,0.177
22,0.000,0.000,0.000,0.600,0.200,0.368,0.093,0.210
22,0.000,0.000,0.000,0.600,0.400,0.368,0.093,0.212
22,0.000,0.000,0.000,0.600,0.600,0.368,0.093,0.208
22,0.000,0.000,0.000,0.600,0.800,0.368,0.093,0.203
22,0.000,0.000,0.000,0.600,1.000,0.368,0.093,0.185
22,0.000,0.000,0.000,0.800,0.000,0.368,0.093,0.172
22,0.000,0.000,0.000,0.800,0.200,0.368,0.093,0.206
22,0.000,0.000,0.000,0.800,0.400,0.368,0.093,0.209
22,0.000,0.000,0.000,0.800,0.600,0.368,0.093,0.206
22,0.000,0.000,0.000,0.800,0.800,0.368,0.093,0.201
22,0.000,0.000,0.000,0.800,1.000,0.368,0.093,0.192
22,0.000,0.000,0.000,1.000,0.000,0.368,0.093,0.168
22,0.000,0.000,0.000,1.000,0.200,0.368,0.093,0.203
22,0.000,0.000,0.000,1.000,0.400,0.368,0.093,0.206
22,0.000,0.000,0.000,1.000,0.600,0.368,0.093,0.204
22,0.000,0.000,0.000,1.000,0.800,0.368,0.093,0.200
22,0.000,0.000,0.000,1.000,1.000,0.368,0.093,0.192
22,0.000,0.000,0.200,0.000,0.000,0.368,0.093,0.081
22,0.000,0.000,0.200,0.000,0.200,0.368,0.093,0.085
22,0.000,0.000,0.200,0.000,0.400,0.368,0.093,0.089
22,0.000,0.000,0.200,0.000,0.600,0.368,0.093,0.090
22,0.000,0.000,0.200,0.000,0.800,0.368,0.093,0.092
22,0.000,0.000,0.200,0.000,1.000,0.368,0.093,0.128
22,0.000,0.000,0.200,0.200,0.000,0.368,0.093,0.115
22,0.000,0.000,0.200,0.200,0.200,0.368,0.093,0.130
22,0.000,0.000,0.200,0.200,0.400,0.368,0.093,0.127
22,0.000,0.000,0.200,0.200,0.600,0.368,0.093,0.125
22,0.000,0.000,0.200,0.200,0.800,0.368,0.093,0.124
22,0.000,0.000,0.200,0.200,1.000,0.368,0.093,0.129
22,0.000,0.000,0.200,0.400,0.000,0.368,0.093,0.179
22,0.000,0.000,0.200,0.400,0.200,0.368,0.093,0.213
