claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
9,0.000,0.000,0.000,0.000,0.000,0.000,0.789,0.000
9,0.000,0.000,0.000,0.000,0.000,0.200,0.789,0.316
9,0.000,0.000,0.000,0.000,0.000,0.400,0.789,0.316
9,0.000,0.000,0.000,0.000,0.000,0.600,0.789,0.316
9,0.000,0.000,0.000,0.000,0.000,0.800,0.789,0.316
9,0.000,0.000,0.000,0.000,0.000,1.000,0.789,0.316
9,0.000,0.000,0.000,0.000,0.200,0.000,0.789,0.167
9,0.000,0.000,0.000,0.000,0.200,0.200,0.789,0.409
9,0.000,0.000,0.000,0.000,0.200,0.400,0.789,0.384
9,0.000,0.000,0.000,0.000,0.200,0.600,0.789,0.361
9,0.000,0.000,0.000,0.000,0.200,0.800,0.789,0.350
9,0.000,0.000,0.000,0.000,0.200,1.000,0.789,0.343
9,0.000,0.000,0.000,0.000,0.400,0.000,0.789,0.167
9,0.000,0.000,0.000,0.000,0.400,0.200,0.789,0.303
9,0.000,0.000,0.000,0.000,0.400,0.400,0.789,0.409
9,0.000,0.000,0.000,0.000,0.400,0.600,0.789,0.406
9,0.000,0.000,0.000,0.000,0.400,0.800,0.789,0.384
9,0.000,0.000,0.000,0.000,0.400,1.000,0.789,0.370
9,0.000,0.000,0.000,0.000,0.600,0.000,0.789,0.167
9,0.000,0.000,0.000,0.000,0.600,0.200,0.789,0.248
9,0.000,0.000,0.000,0.000,0.600,0.400,0.789,0.358
9,0.000,0.000,0.000,0.000,0.600,0.600,0.789,0.409
9,0.000,0.000,0.000,0.000,0.600,0.800,0.789,0.417
9,0.000,0.000,0.000,0.000,0.600,1.000,0.789,0.397
9,0.000,0.000,0.000,0.000,0.800,0.000,0.789,0.167
9,0.000,0.000,0.000,0.000,0.800,0.200,0.789,0.220
9,0.000,0.000,0.000,0.000,0.800,0.400,0.789,0.303
9,0.000,0.000,0.000,0.000,0.800,0.600,0.789,0.381
9,0.000,0.000,0.000,0.000,0.800,0.800,0.789,0.409
9,0.000,0.000,0.000,0.000,0.800,1.000,0.789,0.424
9,0.000,0.000,0.000,0.000,1.000,0.000,0.789,0.167
9,0.000,0.000,0.000,0.000,1.000,0.200,0.789,0.204
9,0.000,0.000,0.000,0.000,1.000,0.400,0.789,0.270
9,0.000,0.000,0.000,0.000,1.000,0.600,0.789,0.336
9,0.000,0.000,0.000,0.000,1.000,0.800,0.789,0.387
9,0.000,0.000,0.000,0.000,1.000,1.000,0.789,0.409
9,0.000,0.000,0.000,0.200,0.000,0.000,0.789,0.081
9,0.000,0.000,0.000,0.200,0.000,0.200,0.789,0.295
9,0.000,0.000,0.000,0.200,0.000,0.400,0.789,0.355
9,0.000,0.000,0.000,0.200,0.000,0.600,0.789,0.342
9,0.000,0.000,0.000,0.200,0.000,0.800,0.789,0.335
9,0.000,0.000,0.000,0.200,0.000,1.000,0.789,0.332
9,0.000,0.000,0.000,0.200,0.200,0.000,0.789,0.123
9,0.000,0.000,0.000,0.200,0.200,0.200,0.789,0.268
9,0.000,0.000,0.000,0.200,0.200,0.400,0.789,0.369
9,0.000,0.000,0.000,0.200,0.200,0.600,0.789,0.387
9,0.000,0.000,0.000,0.200,0.200,0.800,0.789,0.369
9,0.000,0.000,0.000,0.200,0.200,1.000,0.789,0.359
9,0.000,0.000,0.000,0.200,0.400,0.000,0.789,0.138
9,0.000,0.000,0.000,0.200,0.400,0.200,0.789,0.225
9,0.000,0.000,0.000,0.200,0.400,0.400,0.789,0.334
9,0.000,0.000,0.000,0.200,0.400,0.600,0.789,0.399
9,0.000,0.000,0.000,0.200,0.400,0.800,0.789,0.403
9,0.000,0.000,0.000,0.200,0.400,1.000,0.789,0.386
9,0.000,0.000,0.000,0.200,0.600,0.000,0.789,0.145
9,0.000,0.000,0.000,0.200,0.600,0.200,0.789,0.203
9,0.000,0.000,0.000,0.200,0.600,0.400,0.789,0.285
9,0.000,0.000,0.000,0.200,0.600,0.600,0.789,0.367
9,0.000,0.000,0.000,0.200,0.600,0.800,0.789,0.406
9,0.000,0.000,0.000,0.200,0.600,1.000,0.789,0.413
9,0.000,0.000,0.000,0.200,0.800,0.000,0.789,0.149
9,0.000,0.000,0.000,0.200,0.800,0.200,0.789,0.190
9,0.000,0.000,0.000,0.200,0.800,0.400,0.789,0.256
9,0.000,0.000,0.000,0.200,0.800,0.600,0.789,0.322
9,0.000,0.000,0.000,0.200,0.800,0.800,0.789,0.384
9,0.000,0.000,0.000,0.200,0.800,1.000,0.789,0.407
9,0.000,0.000,0.000,0.200,1.000,0.000,0.789,0.152
9,0.000,0.000,0.000,0.200,1.000,0.200,0.789,0.181
9,0.000,0.000,0.000,0.200,1.000,0.400,0.789,0.236
9,0.000,0.000,0.000,0.200,1.000,0.600,0.789,0.291
9,0.000,0.000,0.000,0.200,1.000,0.800,0.789,0.346
9,0.000,0.000,0.000,0.200,1.000,1.000,0.789,0.389
9,0.000,0.000,0.000,0.400,0.000,0.000,0.789,0.081
9,0.000,0.000,0.000,0.400,0.000,0.200,0.789,0.213
9,0.000,0.000,0.000,0.400,0.000,0.400,0.789,0.295
9,0.000,0.000,0.000,0.400,0.000,0.600,0.789,0.353
9,0.000,0.000,0.000,0.400,0.000,0.800,0.789,0.355
9,0.000,0.000,0.000,0.400,0.000,1.000,0.789,0.347
9,0.000,0.000,0.000,0.400,0.200,0.000,0.789,0.109
9,0.000,0.000,0.000,0.400,0.200,0.200,0.789,0.203
9,0.000,0.000,0.000,0.400,0.200,0.400,0.789,0.291
9,0.000,0.000,0.000,0.400,0.200,0.600,0.789,0.342
9,0.000,0.000,0.000,0.400,0.200,0.800,0.789,0.381
9,0.000,0.000,0.000,0.400,0.200,1.000,0.789,0.374
9,0.000,0.000,0.000,0.400,0.400,0.000,0.789,0.123
9,0.000,0.000,0.000,0.400,0.400,0.200,0.789,0.187
9,0.000,0.000,0.000,0.400,0.400,0.400,0.789,0.268
9,0.000,0.000,0.000,0.400,0.400,0.600,0.789,0.333
9,0.000,0.000,0.000,0.400,0.400,0.800,0.789,0.369
9,0.000,0.000,0.000,0.400,0.400,1.000,0.789,0.398
9,0.000,0.000,0.000,0.400,0.600,0.000,0.789,0.132
9,0.000,0.000,0.000,0.400,0.600,0.200,0.789,0.177
9,0.000,0.000,0.000,0.400,0.600,0.400,0.789,0.242
9,0.000,0.000,0.000,0.400,0.600,0.600,0.789,0.307
9,0.000,0.000,0.000,0.400,0.600,0.800,0.789,0.359
